"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","USPS - Priority Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"United States Postal Service - Priority Mail Hold For Pickup","USPS - Priority Hold For Pickup"
"United States Postal Service - Priority Mail Large Flat Rate Box Hold For Pickup","USPS - Priority Large Flat Rate Box Hold For Pickup"
"United States Postal Service - Priority Mail Medium Flat Rate Box Hold For Pickup","USPS - Priority Medium Flat Rate Box Hold For Pickup"
"United States Postal Service - Priority Mail Small Flat Rate Box Hold For Pickup","USPS - Priority Small Flat Rate Box Hold For Pickup"
"United States Postal Service - Priority Mail Flat Rate Envelope Hold For Pickup","USPS - Priority Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Gift Card Flat Rate Envelope","USPS - Priority Gift Card Flat Rate Envelope"
"United States Postal Service - Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","USPS - Priority Gift Card Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Window Flat Rate Envelope","USPS - Priority Window Flat Rate Envelope"
"United States Postal Service - Priority Mail Window Flat Rate Envelope Hold For Pickup","USPS - Priority Window Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Small Flat Rate Envelope","USPS - Priority Small Flat Rate Envelope"
"United States Postal Service - Priority Mail Small Flat Rate Envelope Hold For Pickup","USPS - Priority Small Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Legal Flat Rate Envelope","USPS - Priority Legal Flat Rate Envelope"
"United States Postal Service - Priority Mail Legal Flat Rate Envelope Hold For Pickup","USPS - Priority Legal Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Padded Flat Rate Envelope Hold For Pickup","USPS - Priority Padded Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Regional Rate Box A","USPS - Priority Regional Rate Box A"
"United States Postal Service - Priority Mail Regional Rate Box A Hold For Pickup","USPS - Priority Regional Rate Box A Hold For Pickup"
"United States Postal Service - Priority Mail Regional Rate Box B","USPS - Priority Regional Rate Box B"
"United States Postal Service - Priority Mail Regional Rate Box B Hold For Pickup","USPS - Priority Regional Rate Box B Hold For Pickup"
"United States Postal Service - First-Class Package Service Hold For Pickup","USPS - 1st Package Service Hold For Pickup"
"United States Postal Service - Priority Mail Express Flat Rate Boxes","USPS - Priority Express Flat Rate Boxes"
"United States Postal Service - Priority Mail Express Flat Rate Boxes Hold For Pickup","USPS - Priority Express Flat Rate Boxes Hold For Pickup"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","USPS - Priority Express Sunday/Holiday Delivery Flat Rate Boxes"
"United States Postal Service - Priority Mail Regional Rate Box C","USPS - Priority Regional Rate Box C"
"United States Postal Service - Priority Mail Regional Rate Box C Hold For Pickup","USPS - Priority Regional Rate Box C Hold For Pickup"
"United States Postal Service - First-Class Package Service","USPS - 1st Package Service"
"United States Postal Service - Priority Mail Express Padded Flat Rate Envelope","USPS - Priority Express Padded Flat Rate Envelope"
"United States Postal Service - Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","USPS - Priority Express Padded Flat Rate Envelope Hold For Pickup"
"United States Postal Service - Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","USPS - Priority Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"United States Postal Service - Priority Mail Express International","USPS - Priority Express International"
"United States Postal Service - Priority Mail International","USPS - Priority International"
"United States Postal Service - Global Express Guaranteed (GXG)","USPS - Global Express Guaranteed (GXG)"
"United States Postal Service - Global Express Guaranteed Document","USPS - Global Express Guaranteed Document"
"United States Postal Service - Global Express Guaranteed Non-Document Rectangular","USPS - Global Express Guaranteed Non-Document Rectangular"
"United States Postal Service - Global Express Guaranteed Non-Document Non-Rectangular","USPS - Global Express Guaranteed Non-Document Non-Rectangular"
"United States Postal Service - Priority Mail International Flat Rate Envelope","USPS - Priority International Flat Rate Envelope"
"United States Postal Service - Priority Mail International Medium Flat Rate Box","USPS - Priority International Medium Flat Rate Box"
"United States Postal Service - Priority Mail Express International Flat Rate Envelope","USPS - Priority Express International Flat Rate Envelope"
"United States Postal Service - Priority Mail International Large Flat Rate Box","USPS - Priority International Large Flat Rate Box"
"United States Postal Service - USPS GXG Envelopes","USPS - USPS GXG Envelopes"
"United States Postal Service - First-Class Mail International Letter","USPS - 1st International Letter"
"United States Postal Service - First-Class Mail International Large Envelope","USPS - 1st International Large Envelope"
"United States Postal Service - First-Class Package International Service","USPS - 1st Package International Service"
"United States Postal Service - Priority Mail International Small Flat Rate Box","USPS - Priority International Small Flat Rate Box"
"United States Postal Service - Priority Mail Express International Legal Flat Rate Envelope","USPS - Priority Express International Legal Flat Rate Envelope"
"United States Postal Service - Priority Mail International Gift Card Flat Rate Envelope","USPS - Priority International Gift Card Flat Rate Envelope"
"United States Postal Service - Priority Mail International Window Flat Rate Envelope","USPS - Priority International Window Flat Rate Envelope"
"United States Postal Service - Priority Mail International Small Flat Rate Envelope","USPS - Priority International Small Flat Rate Envelope"
"United States Postal Service - First-Class Mail International Postcard","USPS - 1st International Postcard"
"United States Postal Service - Priority Mail International Legal Flat Rate Envelope","USPS - Priority International Legal Flat Rate Envelope"
"United States Postal Service - Priority Mail International Padded Flat Rate Envelope","USPS - Priority International Padded Flat Rate Envelope"
"United States Postal Service - Priority Mail International DVD Flat Rate priced box","USPS - Priority International DVD Flat Rate priced box"
"United States Postal Service - Priority Mail International Large Video Flat Rate priced box","USPS - Priority International Large Video Flat Rate priced box"
"United States Postal Service - Priority Mail Express International Flat Rate Boxes","USPS - Priority Express International Flat Rate Boxes"
"United States Postal Service - Priority Mail Express International Padded Flat Rate Envelope","USPS - Priority Express International Padded Flat Rate Envelope"
"United States Postal Service - Priority Mail 3-Day","USPS - Priority 3-Day"
"United States Postal Service - Priority Mail 2-Day","USPS - Priority 2-Day"
"United States Postal Service - Priority Mail 1-Day","USPS - Priority 1-Day"
"Free Shipping Lower 48 - Free Shipping","Free Lower 48"
"Free Shipping Lower 48 - Best Way", "Free Lower 48 - Best"
"Amazon Shipping - Exp UK Dom", "Amazon - Exp UK Dom"
"Amazon Shipping - Std UK Dom", "Amazon - Std UK Dom"
"eBay - Other 24 Hour Courier", "eBay - Other 24h Courier"
"eBay Shipping - Collection in Person", "eBay - Collection in Person"
"eBay Shipping - Economy Int'l Postage", "eBay - Economy Int'l Postage"
"eBay Shipping - Other 24 Hour Courier", "eBay - Other 24h Courier"
"eBay Shipping - Other 48 Hour Courier", "eBay - Other 48h Courier"
"eBay Shipping - Other Courier", "eBay - Other Courier"
"eBay Shipping - Other Courier 3-5 days", "eBay - Other Courier 3-5 days"
"eBay Shipping - Other Courier 5 days", "eBay - Other Courier 5 days"
"eBay Shipping - Royal Mail 2nd Class, "eBay - RM 2nd Class"
"eBay Shipping - Royal Mail 48", "eBay - RM 48"
"eBay Shipping - Royal Mail Special Delivery (TM) 1:00 pm", "eBay - RM Special Delivery (TM) 1:00 pm"
"eBay Shipping - Royal Mail Tracked 24", "eBay - RM Tracked 24"
"eBay Shipping - Royal Mail Tracked 48", "eBay - RM Tracked 48"
"Royal Mail - Europe International Signed For", "RM - Europe International Signed For"
"Royal Mail - First Class", "RM - 1st Class"
"Royal Mail - Second Class", "RM - 2nd Class"
"Royal Mail - Special Delivery 1pm", "RM - Special Delivery 1pm"
"Shipping Option - Royal Mail 2nd class (2-3 working days)", "RM 2nd class (2-3 working days)"
"Shipping Option - Royal Mail 2nd class packets (2-3 working days)", "RM 2nd class packets (2-3 working days)"
